"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"FRW00034067","1958-09-01","48.43333","4.48333","120.1","BRIENNE, FR","   25",",,X","    0",",,X","    0",",,X","  200",",,X","  183",",,X",,,"    1",",,X","    1",",,X",,,,,"    1",",,X",,
"FRW00034067","1958-09-02","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  244",",,X","  172",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-03","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  278",",,X","  150",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-04","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  267",",,X","  167",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-09-05","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  311",",,X","  161",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-06","48.43333","4.48333","120.1","BRIENNE, FR","   10",",,X","    0",",,X","    0",",,X","  278",",,X","  156",",,X",,,"    1",",,X","    1",",,X","    1",",,X","    1",",,X","    1",",,X",,
"FRW00034067","1958-09-07","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  256",",,X","  167",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-08","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  228",",,X","  150",",,X",,,,,,,,,,,,,,
"FRW00034067","1958-09-09","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  250",",,X","  128",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-10","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  228",",,X","   94",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-11","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  239",",,X","  106",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-12","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  239",",,X","  111",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-13","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  278",",,X","   94",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-14","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  300",",,X","  133",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-15","48.43333","4.48333","120.1","BRIENNE, FR","   18",",,X","    0",",,X","    0",",,X","  239",",,X","  156",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-09-16","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  206",",,X","  122",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-09-17","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  189",",,X","  117",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-18","48.43333","4.48333","120.1","BRIENNE, FR","    3",",,X","    0",",,X","    0",",,X","  189",",,X","  100",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-09-19","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  228",",,X","   83",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-20","48.43333","4.48333","120.1","BRIENNE, FR","   15",",,X","    0",",,X","    0",",,X","  206",",,X","  139",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-09-21","48.43333","4.48333","120.1","BRIENNE, FR","   25",",,X","    0",",,X","    0",",,X","  211",",,X","  117",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-09-22","48.43333","4.48333","120.1","BRIENNE, FR","   56",",,X","    0",",,X","    0",",,X","  172",",,X","  106",",,X",,,,,"    1",",,X",,,,,"    1",",,X",,
"FRW00034067","1958-09-23","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  189",",,X","  117",",,X",,,,,,,,,"    1",",,X",,,,
"FRW00034067","1958-09-24","48.43333","4.48333","120.1","BRIENNE, FR","   20",",,X","    0",",,X","    0",",,X","  172",",,X","  128",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-09-25","48.43333","4.48333","120.1","BRIENNE, FR","   10",",,X","    0",",,X","    0",",,X","  178",",,X","  133",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-09-26","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  183",",,X","   78",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-27","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  200",",,X","   39",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-28","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  250",",,X","   67",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-09-29","48.43333","4.48333","120.1","BRIENNE, FR","   25",",,X","    0",",,X","    0",",,X","  250",",,X","  133",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-09-30","48.43333","4.48333","120.1","BRIENNE, FR","  310",",,X","    0",",,X","    0",",,X","  167",",,X","  139",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-10-01","48.43333","4.48333","120.1","BRIENNE, FR","    8",",,X","    0",",,X","    0",",,X","  178",",,X","  117",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-10-02","48.43333","4.48333","120.1","BRIENNE, FR","   30",",,X","    0",",,X","    0",",,X","  167",",,X","  100",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-10-03","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   78",",,X",,,,,,,,,,,,,,
"FRW00034067","1958-10-04","48.43333","4.48333","120.1","BRIENNE, FR","   76",",,X","    0",",,X","    0",",,X","  189",",,X","  111",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-10-05","48.43333","4.48333","120.1","BRIENNE, FR","    5",",,X","    0",",,X","    0",",,X","  194",",,X","  106",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-10-06","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  161",",,X","   39",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-10-07","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  161",",,X","   28",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-08","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  183",",,X","   33",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-09","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  211",",,X","   94",",,X",,,,,,,,,,,,,,
"FRW00034067","1958-10-10","48.43333","4.48333","120.1","BRIENNE, FR","14224",",G,X"," 1016",",O,X","    0",",,X","  433",",G,X"," 3544",",X,X","   72",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-11","48.43333","4.48333","120.1","BRIENNE, FR","  102",",,X","    0",",,X","    0",",,X","  194",",,X","  139",",,X",,,,,"    1",",,X",,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-12","48.43333","4.48333","120.1","BRIENNE, FR","   66",",,X","    0",",,X","    0",",,X","  161",",,X","   89",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-13","48.43333","4.48333","120.1","BRIENNE, FR","   25",",,X","    0",",,X","    0",",,X","  117",",,X","   83",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-14","48.43333","4.48333","120.1","BRIENNE, FR","   23",",,X","    0",",,X","    0",",,X","  172",",,X","  106",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-15","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  189",",,X","  106",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-16","48.43333","4.48333","120.1","BRIENNE, FR","   13",",,X","    0",",,X","    0",",,X","  150",",,X","   67",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-10-17","48.43333","4.48333","120.1","BRIENNE, FR","   18",",,X","    0",",,X","    0",",,X","  117",",,X","   72",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-18","48.43333","4.48333","120.1","BRIENNE, FR","   38",",,X","    0",",,X","    0",",,X","  139",",,X","   72",",,X",,,"    1",",,X","    1",",,X",,,"    1",",,X","    1",",,X",,
